evidence_scope,experiment_id,machine_id,architecture,source_commit,config_sha256,dataset_manifest_sha256,randomization_seed,codec_executable_sha256,measurement_method,measurement_tool_sha256,split,codec,codec_config,profile,threads,native_mathsvg,dataset_id,row_scope,original_bytes,scheduled_measured_trials,successful_trials,failed_trials,timeout_trials,unavailable_trials,complete_repetitions,metric_status,roundtrip_all_successes,deterministic_archive_all_successes,archive_bytes_median,archive_fraction_median,compression_ratio_median,compression_wall_ns_median,compression_cpu_ns_median,compression_cpu_wall_fraction_median,decompression_wall_ns_median,decompression_cpu_ns_median,decompression_cpu_wall_fraction_median,compression_throughput_mb_s_median,decompression_throughput_mb_s_median,peak_rss_bytes_median,compression_peak_rss_bytes_median,decompression_peak_rss_bytes_median,procedural_evidence_status,literal_only_archive_bytes_median,pre_entropy_archive_bytes_median,procedural_gain_before_entropy_bytes_median,procedural_penalty_before_entropy_bytes_median,entropy_gain_bytes_median,entropy_penalty_bytes_median,function_reconstructed_bytes_median,literal_reconstructed_bytes_median,procedural_coverage_median,literal_fraction_median
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-periodic,file,65536,10,10,0,0,0,10,complete,true,true,292,0.00445556640625,224.43835616438355,8831941,0,0,8588392.5,0,0,7.4203819098827477,7.630764430356157,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-piecewise-mixed,file,65536,10,10,0,0,0,10,complete,true,true,13134,0.200408935546875,4.9897974722095322,8884878,0,0,8778838,0,0,7.3761308385623714,7.4652264767234211,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-polynomial-d2,file,65536,10,10,0,0,0,10,complete,true,true,541,0.0082550048828125,121.13863216266174,8902669.5,0,0,8775976,0,0,7.3613875296618678,7.4677390644225099,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,dev-synthetic-recurrence,file,65536,10,10,0,0,0,10,complete,true,true,670,0.010223388671875,97.814925373134329,8808527.5,0,0,8709793.5,0,0,7.440630818795249,7.5244186355601759,1740800,1740800,1740800,not-applicable,,,,,,,,,,
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,56c1b7390551d55bb056da7122b41ac3f7e4459570e4627ac278f7c91d669491,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,87c0d5d060fd36c685b98a38611b7bd6c4614d40b36d29be84edcd6c173f8160,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,lz4,lz4,,1,false,__aggregate__,corpus,10114825,100,100,0,0,0,10,complete,true,true,8886079,0.87852029076133298,1.1382776362893015,152636814,30000000,0.19497029731795565,149919960.5,20000000,0.13680009311882563,66.268106050534485,67.471111553771905,9967616,9846784,9967616,not-applicable,,,,,,,,,,
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-canterbury-alice29-txt,file,152089,10,10,0,0,0,10,complete,true,true,73860,0.48563669956407102,2.0591524505821823,167359578,140000000,0.84256452943808746,34393222.5,10000000,0.29075938368414284,0.90875604109332775,4.4221303905137601,6342656,6342656,3590144,exact,152577,152577,0,0,78717,0,0,152089,0,1
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-canterbury-kennedy-xls,file,1029744,10,10,0,0,0,10,complete,true,true,243978,0.23693073229851302,4.2206428448466662,619892399,590000000,0.95051737070732245,68031432,50000000,0.73496033539146755,1.6611658497175861,15.136419912147026,20594688,20594688,4786176,exact,1030232,1030232,0,0,786254,0,0,1029744,0,1
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-silesia-x-ray,file,8474240,10,10,0,0,0,10,complete,true,true,6801499,0.80260872951438711,1.2459371088637961,8904338152.5,8845000000,0.99346005356101652,1021731368.5,965000000,0.94894512506976703,0.95170595784998557,8.2940007096411357,26458112,26458112,7348224,exact,8476584,8476584,0,0,1675085,0,0,8474240,0,1
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-synthetic-constant-00,file,65536,10,10,0,0,0,10,complete,true,true,485,0.0074005126953125,135.12577319587629,35123239.5,20000000,0.56945423896802105,9255087.5,0,0,1.8659876502504114,7.0846457185073977,4528128,4528128,3176448,exact,66024,485,65539,0,0,0,65536,0,1,0
development,development-pilot-v7-structured-generators,local-x86-64,x86_64,36f84685dc00064dae9a239face7e8eff797ed28,70bb1e0dd999f0b072e68b38dc1ccb8bfc77175771bc5f1175f649a0aafa789e,88ed376ce82fbd9301fe2fce71dd0e3a4af5f837450b50b8489d678b19d5fca7,1297748005,c5c433301bf3bffaa1a75b00d10eca2866a1f5e6f412a031d562199e59f64a06,gnu-time-v1-monotonic-wall,3b11dec50514a8473e9f6efa7a34d584d0657538c09988f61b72d38ad4991a10,development,mathsvg,balanced-v1,balanced,1,true,dev-synthetic-lfsr8,file,65536,10,10,0,0,0,10,complete,true,true,753,0.0114898681640625,87.033200531208493,33166664.5,10000000,0.3015075737435795,9458625,0,0,1.9759600352859228,6.9376730946256231,4554752,4554752,3180544,exact,66024,66024,0,0,65271,0,0,65536,0,1
