oracle_kind,input_id,origin,sample_bytes,status,baseline,baseline_bytes,oracle_bytes,headroom_bytes,headroom_percent,winner,evaluated_candidates,no_coordinate_bytes,whole_coordinate_bytes,basis_bytes,basis_incremental_winner,budget_exhausted,complete_within_declared_catalogue,source,notes
native_coordinate_basis_incremental_ablation,alice29.txt:block-0015,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2925,2925,0,0.000000000,no-coordinate,3,2925,2933,3030,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0001,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2927,2927,0,0.000000000,no-coordinate,3,2927,2935,3037,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0018,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2940,2940,0,0.000000000,no-coordinate,3,2940,2948,3057,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0023,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2945,2945,0,0.000000000,no-coordinate,3,2945,2953,3066,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0014,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2947,2947,0,0.000000000,no-coordinate,3,2947,2955,3064,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0016,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2947,2947,0,0.000000000,no-coordinate,3,2947,2955,3073,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0005,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2949,2949,0,0.000000000,no-coordinate,3,2949,2957,3065,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0008,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2950,2950,0,0.000000000,no-coordinate,3,2950,2958,3068,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0029,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2958,2958,0,0.000000000,no-coordinate,3,2958,2966,3082,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0022,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2958,2958,0,0.000000000,no-coordinate,3,2958,2966,3085,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
